cid,community_name,county,initial_fhbm_date,initial_firm_date,current_map_date,regular_emergency_program_date,is_tribal,fips,duns,is_csc,csc_level,crs_member,crs_community_number,crs_entry_date,current_effective_date,current_class,discount_sfha,discount_non_sfha,status,nfip_standing,community_assistance_visit,community_assistance_call,current_nfip_ordinance,nfip_ordinance_adoption,nfip_administrator_name
360268,"BANGOR, TOWN OF",FRANKLIN COUNTY,08/02/74,,(NSFHA),02/14/85,No,,,,,No,,,,,,,,,,,,,
360037#,"BARKER, TOWN OF",BROOME COUNTY,02/15/74,01/06/84,02/05/92,01/06/84,No,,,,,No,,,,,,,,,,,,,
360498#,"BARKER, VILLAGE OF",NIAGARA COUNTY,05/03/74,05/01/84,09/17/10,05/01/84,No,,,,,No,,,,,,,,,,,,,
361569#,"BARNEVELD, VILLAGE OF",ONEIDA COUNTY,08/30/74,04/17/85,09/27/13,04/17/85,No,,,,,No,,,,,,,,,,,,,
361253#,"BARRE, TOWN OF",ORLEANS COUNTY,10/25/74,10/15/81,10/15/81(M),10/15/81,No,,,,,No,,,,,,,,,,,,,
360953,"BARRINGTON, TOWN OF",YATES COUNTY,05/31/74,03/09/84,03/09/84(M),03/09/84,No,,,,,No,,,,,,,,,,,,,
360832#,"BARTON, TOWN OF",TIOGA COUNTY,06/21/74,06/15/82,04/17/12,06/15/82,No,,,,,No,,,,,,,,,,,,,
360279#,"BATAVIA, CITY OF",GENESEE COUNTY,12/28/73,09/16/82,09/16/82,09/16/82,No,,,,,Yes,360279,10/1/2016,10/1/2016,7,15,5,C,,,,,,
360278#,"BATAVIA, TOWN OF",GENESEE COUNTY,05/03/74,01/17/85,01/17/85,01/17/85,No,,,,,No,,,,,,,,,,,,,
360766#,"BATH, TOWN OF",STEUBEN COUNTY,08/30/74,05/02/83,05/02/83,05/02/83,No,,,,,No,,,,,,,,,,,,,
360767#,"BATH, VILLAGE OF",STEUBEN COUNTY,07/25/75,08/15/77,03/16/83,03/16/83,No,,,Yes,,No,,,,,,,,,,,,,
360459#,"BAXTER ESTATES, VILLAGE OF",NASSAU COUNTY,06/14/74,05/16/83,09/11/09,05/16/83,No,,,,,No,,,,,,,,,,,,,
360988#,"BAYVILLE, VILLAGE OF",NASSAU COUNTY,05/03/74,09/15/83,09/11/09,09/15/83,No,,,,,Yes,360988,10/1/1992,10/1/2003,8,10,5,C,,,,,,
360217#,"BEACON, CITY OF",DUTCHESS COUNTY,07/26/74,03/01/84,05/02/12,03/01/84,No,,,Yes,,No,,,,,,,,,,,,,
360903#,"BEDFORD, TOWN OF",WESTCHESTER COUNTY,05/31/74,12/04/79,09/28/07,12/04/79,No,,,Yes,,No,,,,,,,,,,,,,
361333#,"BEEKMAN, TOWN OF",DUTCHESS COUNTY,10/18/74,09/05/84,05/02/12,09/05/84,No,,,,,No,,,,,,,,,,,,,
360166#,"BEEKMANTOWN, TOWN OF",CLINTON COUNTY,02/27/76,05/04/87,09/28/07,05/04/87,No,,,,,No,,,,,,,,,,,,,
361096#,"BELFAST, TOWN OF",ALLEGANY COUNTY,10/18/74,08/06/82,08/06/82(M),08/06/82,No,,,,,No,,,,,,,,,,,,,
361532#,"BELLE TERRE, VILLAGE OF",SUFFOLK COUNTY,12/27/74,03/16/83,09/25/09,03/16/83,No,,,,,No,,,,,,,,,,,,,
361392,"BELLMONT, TOWN OF",FRANKLIN COUNTY,01/17/75,08/05/85,08/05/85(M),08/05/85,No,,,,,No,,,,,,,,,,,,,
361069#,"BELLPORT, VILLAGE OF",SUFFOLK COUNTY,11/01/74,10/15/82,09/25/09,10/15/82,No,,,,,No,,,,,,,,,,,,,
360025#,"BELMONT, VILLAGE OF",ALLEGANY COUNTY,02/01/74,12/18/84,12/18/84,12/18/84,No,,,,,No,,,,,,,,,,,,,
360133#,"BEMUS POINT, VILLAGE OF",CHAUTAUQUA COUNTY,08/09/74,11/02/77,11/02/77,11/02/77,No,,,,,No,,,,,,,,,,,,,
360941,"BENNINGTON, TOWN OF",WYOMING COUNTY,07/26/74,12/23/83,12/23/83(M),12/23/83,No,,,,,No,,,,,,,,,,,,,
361598,"BENSON, TOWN OF",HAMILTON COUNTY,,,(NSFHA),01/31/83,No,,,,,No,,,,,,,,,,,,,
360955,"BENTON, TOWN OF",YATES COUNTY,06/07/74,01/20/84,01/20/84(M),01/20/84,No,,,,,No,,,,,,,,,,,,,
361137,"BERGEN, TOWN OF",GENESEE COUNTY,11/22/74,07/09/76,07/06/84(M),07/06/84,No,,,,,No,,,,,,,,,,,,,
361497,"BERGEN, VILLAGE OF",GENESEE COUNTY,02/14/75,06/08/79,06/08/79(M),06/08/79,No,,,,,No,,,,,,,,,,,,,
361215#,"BERKSHIRE, TOWN OF",TIOGA COUNTY,10/18/74,05/15/85,04/17/12,05/15/85,No,,,,,No,,,,,,,,,,,,,
360672#,"BERLIN, TOWN OF",RENSSELAER COUNTY,08/30/74,08/17/79,08/17/79(M),08/17/79,No,,,,,No,,,,,,,,,,,,,
360003A,"BERNE, TOWN OF",ALBANY COUNTY,06/28/74,08/01/87,03/16/15(M),08/01/87,No,,,,,No,,,,,,,,,,,,,
361138#,"BETHANY, TOWN OF",GENESEE COUNTY,06/25/76,09/24/84,09/24/84(M),09/24/84,No,,,,,No,,,,,,,,,,,,,
360815#,"BETHEL, TOWN OF",SULLIVAN COUNTY,06/28/74,02/27/84,02/18/11,02/27/84,No,,,Yes,Bronze Certified,No,,,,,,,,,,,,,
361540A,"BETHLEHEM, TOWN OF",ALBANY COUNTY,05/31/74,06/15/83,03/16/15,06/15/83,No,,,Yes,,No,,,,,,,,,,,,,
360148#,"BIG FLATS, TOWN OF",CHEMUNG COUNTY,09/14/73,09/30/81,08/18/92,09/30/81,No,,,Yes,,Yes,360148,10/1/1991,10/1/1996,8,10,5,C,,,,,,
360038#,"BINGHAMTON, CITY OF",BROOME COUNTY,04/12/74,06/01/77,06/01/77,06/01/77,No,,,Yes,,No,,,,,,,,,,,,,
360039,"BINGHAMTON, TOWN OF",BROOME COUNTY,06/07/74,01/06/84,01/06/84(M),01/06/84,No,,,,,No,,,,,,,,,,,,,
361362#,"BIRDSALL, TOWN OF",ALLEGANY COUNTY,01/03/75,07/16/82,07/16/82(M),07/16/82,No,,,,,No,,,,,,,,,,,,,
361309#,"BLACK BROOK, TOWN OF",CLINTON COUNTY,01/10/75,08/15/83,09/28/07,08/15/83,No,,,Yes,,No,,,,,,,,,,,,,
361525#,"BLACK RIVER, VILLAGE OF",JEFFERSON COUNTY,01/03/75,06/05/89,01/08/14,12/19/84,No,,,,,No,,,,,,,,,,,,,
361489B,"BLASDELL, VILLAGE OF",ERIE COUNTY,11/22/74,06/25/76,06/07/19,06/25/76,No,,,,,No,,,,,,,,,,,,,
361127,"BLEECKER, TOWN OF",FULTON COUNTY,11/22/74,07/18/85,07/18/85(M),07/18/85,No,,,,,No,,,,,,,,,,,,,
361580#,"BLENHEIM, TOWN OF",SCHOHARIE COUNTY,01/20/78,05/01/85,04/02/04,05/01/85,No,,,,,No,,,,,,,,,,,,,
361650#,"BLOOMFIELD, VILLAGE OF (USE TOWN OF EAST BLOOMFIELD (CID 361298) FIRM DATED 8/15/83 PANELS: 0008B, 0009B, 0017B, 0020B)",ONTARIO COUNTY,,08/15/83,,02/08/01,No,,,,,No,,,,,,,,,,,,,
360608#,"BLOOMING GROVE, TOWN OF",ORANGE COUNTY,06/07/74,11/15/85,08/03/09,11/15/85,No,,,,,No,,,,,,,,,,,,,
361473#,"BLOOMINGBURG, VILLAGE OF",SULLIVAN COUNTY,11/15/74,04/17/85,02/18/11,04/17/85,No,,,,,No,,,,,,,,,,,,,
361097#,"BOLIVAR, TOWN OF",ALLEGANY COUNTY,11/01/74,07/30/82,07/30/82(M),07/30/82,No,,,,,No,,,,,,,,,,,,,
360026#,"BOLIVAR, VILLAGE OF",ALLEGANY COUNTY,01/07/77,11/01/78,01/19/96,11/01/78,No,,,,,No,,,,,,,,,,,,,
360869#,"BOLTON, TOWN OF",WARREN COUNTY,10/18/74,07/03/86,08/16/96,07/03/86,No,,,,,No,,,,,,,,,,,,,
360269,"BOMBAY, TOWN OF",FRANKLIN COUNTY,09/06/74,02/15/85,02/15/85(M),02/15/85,No,,,,,No,,,,,,,,,,,,,
360519#,"BOONVILLE, TOWN OF",ONEIDA COUNTY,09/06/74,07/03/85,09/27/13(M),07/03/85,No,,,,,No,,,,,,,,,,,,,
360520#,"BOONVILLE, VILLAGE OF",ONEIDA COUNTY,05/31/74,04/17/85,09/27/13(M),04/17/85,No,,,Yes,,No,,,,,,,,,,,,,
360228B,"BOSTON, TOWN OF",ERIE COUNTY,04/12/74,09/30/81,06/07/19,09/30/81,No,,,,,No,,,,,,,,,,,,,
360190B,"BOVINA, TOWN OF",DELAWARE COUNTY,06/28/74,05/01/85,06/16/16,05/01/85,No,,,,,No,,,,,,,,,,,,,
361415#,"BOYLSTON, TOWN OF",OSWEGO COUNTY,01/03/75,06/18/13,(NSFHA),08/13/87,No,,,,,No,,,,,,,,,,,,,
361207,"BRADFORD, TOWN OF",STEUBEN COUNTY,12/13/74,09/24/84,09/24/84(M),09/24/84,No,,,,,No,,,,,,,,,,,,,
361393,"BRANDON, TOWN OF",FRANKLIN COUNTY,01/17/75,,(NSFHA),02/14/85,No,,,,,No,,,,,,,,,,,,,
360229B,"BRANT, TOWN OF",ERIE COUNTY,06/14/74,01/06/84,06/07/19,01/06/84,No,,,Yes,,No,,,,,,,,,,,,,
361171,"BRASHER, TOWN OF",ST. LAWRENCE COUNTY,01/03/75,01/03/86,01/03/86(M),01/03/86,No,,,,,No,,,,,,,,,,,,,
360668#,"BREWSTER, VILLAGE OF",PUTNAM COUNTY,03/22/74,09/18/86,03/04/13,09/18/86,No,,,,,No,,,,,,,,,,,,,
360904#,"BRIARCLIFF MANOR, VILLAGE OF",WESTCHESTER COUNTY,06/28/74,02/01/78,09/28/07,02/01/78,No,,,,,No,,,,,,,,,,,,,
360521#,"BRIDGEWATER, TOWN OF",ONEIDA COUNTY,09/06/74,09/27/13,09/27/13,12/19/84,No,,,,,No,,,,,,,,,,,,,
360522#,"BRIDGEWATER, VILLAGE OF",ONEIDA COUNTY,05/17/74,04/15/82,09/27/13,04/15/82,No,,,,,No,,,,,,,,,,,,,
361163,"BRIGHTON, TOWN OF",FRANKLIN COUNTY,11/08/74,,(NSFHA),03/25/85,No,,,,,No,,,,,,,,,,,,,
360410#,"BRIGHTON, TOWN OF",MONROE COUNTY,05/31/74,06/18/80,08/28/08,06/18/80,No,,,Yes,Bronze Certified,No,,,,,,,,,,,,,
361342#,"BRIGHTWATERS, VILLAGE OF",SUFFOLK COUNTY,10/18/74,09/02/82,09/25/09,09/02/82,No,,,,,Yes,361342,10/1/1993,10/1/1998,10,0,0,R,,,,,,
361414,"BRISTOL, TOWN OF",ONTARIO COUNTY,01/31/75,01/20/84,01/20/84(M),01/20/84,No,,,,,No,,,,,,,,,,,,,
361128,"BROADALBIN, TOWN OF",FULTON COUNTY,09/20/74,01/03/85,01/03/85(M),01/03/85,No,,,,,No,,,,,,,,,,,,,
361482,"BROADALBIN, VILLAGE OF",FULTON COUNTY,01/03/75,04/15/86,04/15/86(M),04/15/86,No,,,,,No,,,,,,,,,,,,,
360411#,"BROCKPORT, VILLAGE OF",MONROE COUNTY,05/31/74,04/23/82,08/28/08(M),04/23/82,No,,,Yes,,No,,,,,,,,,,,,,
360134,"BROCTON, VILLAGE OF",CHAUTAUQUA COUNTY,08/27/76,,(NSFHA),10/29/82,No,,,,,No,,,,,,,,,,,,,
360905#,"BRONXVILLE, VILLAGE OF",WESTCHESTER COUNTY,07/13/73,03/01/79,09/28/07,03/01/79,No,,,,,No,,,,,,,,,,,,,
360392,"BROOKFIELD, TOWN OF",MADISON COUNTY,08/02/74,04/17/85,04/17/85(M),04/17/85,No,,,,,No,,,,,,,,,,,,,
365334#,"BROOKHAVEN, TOWN OF",SUFFOLK COUNTY,,08/31/72,09/25/09,08/31/72,No,,,Yes,,No,,,,,,,,,,,,,
361431#,"BROOME, TOWN OF",SCHOHARIE COUNTY,01/03/75,10/15/85,04/02/04,10/15/85,No,,,,,No,,,,,,,,,,,,,
361063,"BROWNVILLE, TOWN OF",JEFFERSON COUNTY,12/06/74,06/05/85,06/02/92,06/05/85,No,,,,,No,,,,,,,,,,,,,
361576,"BROWNVILLE, VILLAGE OF",JEFFERSON COUNTY,04/23/76,03/18/86,03/18/86(M),03/18/86,No,,,,,No,,,,,,,,,,,,,
361130#,"BRUNSWICK, TOWN OF",RENSSELAER COUNTY,11/12/76,06/04/80,12/06/00,06/04/80,No,,,,,No,,,,,,,,,,,,,
361480,"BRUSHTON, VILLAGE OF",FRANKLIN COUNTY,11/15/74,02/19/86,02/19/86(M),02/19/86,No,,,,,No,,,,,,,,,,,,,
360104#,"BRUTUS, TOWN OF",CAYUGA COUNTY,09/06/74,04/16/79,08/02/07,04/16/79,No,,,,,No,,,,,,,,,,,,,
361534#,"BUCHANAN, VILLAGE OF",WESTCHESTER COUNTY,10/29/76,07/27/79,09/28/07(M),07/27/79,No,,,,,No,,,,,,,,,,,,,
360230B,"BUFFALO, CITY OF",ERIE COUNTY,06/28/74,11/18/81,06/07/19,11/18/81,No,,,Yes,Bronze Certified,No,,,,,,,,,,,,,
